"interaction","resource","consumer"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,16
13,1,18
14,1,21
15,1,22
16,1,36
17,1,38
18,1,40
19,2,1
20,2,2
21,2,3
22,2,4
23,2,6
24,2,7
25,2,9
26,2,10
27,2,11
28,2,18
29,2,19
30,2,20
31,2,23
32,2,24
33,2,26
34,2,28
35,2,33
36,2,35
37,3,1
38,3,2
39,3,3
40,3,4
41,3,6
42,3,7
43,3,9
44,3,10
45,3,11
46,3,12
47,3,16
48,3,17
49,4,1
50,4,3
51,4,5
52,4,6
53,4,12
54,4,14
55,4,15
56,4,20
57,4,24
58,5,1
59,5,2
60,5,3
61,5,4
62,5,6
63,5,7
64,5,8
65,5,26
66,5,28
67,6,1
68,6,3
69,6,5
70,6,6
71,6,15
72,6,23
73,6,31
74,6,34
75,7,1
76,7,2
77,7,4
78,7,5
79,7,8
80,7,9
81,7,15
82,7,22
83,8,1
84,8,2
85,8,3
86,8,5
87,8,10
88,8,12
89,8,16
90,9,1
91,9,2
92,9,4
93,9,8
94,9,13
95,9,14
96,10,1
97,10,4
98,10,13
99,10,25
100,10,27
101,10,41
102,11,1
103,11,4
104,11,5
105,11,14
106,11,25
107,11,27
108,12,1
109,12,2
110,12,19
111,12,21
112,13,1
113,13,3
114,13,29
115,14,1
116,14,17
117,14,37
118,15,1
119,15,32
120,16,1
121,16,13
122,17,1
123,17,39
124,18,1
125,18,30
