"interaction","resource","consumer"
1,1,2
2,1,3
3,1,6
4,1,8
5,1,9
6,1,10
7,1,14
8,1,15
9,1,16
10,1,17
11,1,18
12,1,19
13,1,20
14,1,21
15,1,22
16,1,23
17,1,24
18,2,1
19,2,2
20,2,5
21,2,8
22,2,9
23,2,10
24,2,14
25,2,15
26,2,16
27,2,18
28,2,22
29,2,23
30,2,24
31,3,1
32,3,2
33,3,3
34,3,4
35,3,5
36,3,6
37,3,11
38,3,12
39,3,14
40,3,17
41,3,21
42,4,1
43,4,2
44,4,3
45,4,5
46,4,6
47,4,9
48,4,12
49,4,13
50,4,16
51,4,17
52,5,9
53,5,10
54,5,12
55,5,15
56,5,17
57,5,19
58,5,20
59,5,21
60,6,1
61,6,2
62,6,3
63,6,6
64,6,7
65,6,16
66,7,1
67,7,2
68,7,3
69,7,4
70,7,5
71,7,11
72,8,1
73,8,2
74,8,3
75,8,5
76,8,7
77,8,12
78,9,1
79,9,2
80,9,3
81,9,4
82,9,6
83,10,1
84,10,2
85,10,4
86,10,5
87,10,6
88,11,1
89,11,3
90,11,4
91,11,5
92,11,6
93,12,1
94,12,5
95,12,6
96,12,7
97,13,2
98,13,12
99,13,15
100,13,20
101,14,2
102,14,3
103,14,6
104,14,13
105,15,2
106,15,5
107,15,11
108,15,14
109,16,8
110,16,9
111,16,11
112,16,13
113,17,1
114,17,3
115,17,4
116,18,2
117,18,3
118,18,4
119,19,2
120,19,6
121,19,16
122,20,2
123,20,8
124,20,14
125,21,3
126,21,4
127,21,10
128,22,2
129,22,3
130,23,8
131,23,10
132,24,3
133,24,4
134,25,1
135,25,7
136,26,2
137,26,18
138,27,4
139,27,13
140,28,15
141,28,19
142,29,8
143,29,10
144,30,1
145,30,4
146,31,1
147,31,2
148,32,1
149,32,11
150,33,1
151,33,5
152,34,1
153,34,3
154,35,4
155,36,9
156,37,11
157,38,1
158,39,3
159,40,1
160,41,1
161,42,1
162,43,7
163,44,1
164,45,13
165,46,5
166,47,2
167,48,3
168,49,2
169,50,1
170,51,12
171,52,5
172,53,7
173,54,7
