"interaction","resource","consumer"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,29
28,1,30
29,1,32
30,1,43
31,2,1
32,2,2
33,2,3
34,2,4
35,2,5
36,2,6
37,2,7
38,2,8
39,2,9
40,2,11
41,2,12
42,2,14
43,2,15
44,2,16
45,2,17
46,2,18
47,2,19
48,2,22
49,2,23
50,2,24
51,2,25
52,2,27
53,2,31
54,2,32
55,2,33
56,2,35
57,2,39
58,3,1
59,3,2
60,3,3
61,3,4
62,3,5
63,3,6
64,3,7
65,3,8
66,3,9
67,3,12
68,3,13
69,3,14
70,3,15
71,3,16
72,3,17
73,3,18
74,3,19
75,3,22
76,3,23
77,3,24
78,3,25
79,3,31
80,3,36
81,3,37
82,3,40
83,4,1
84,4,2
85,4,3
86,4,4
87,4,5
88,4,6
89,4,7
90,4,8
91,4,9
92,4,10
93,4,11
94,4,12
95,4,13
96,4,14
97,4,18
98,4,20
99,4,21
100,4,24
101,4,25
102,4,26
103,4,27
104,4,28
105,4,29
106,4,30
107,4,31
108,5,1
109,5,2
110,5,3
111,5,4
112,5,5
113,5,6
114,5,7
115,5,9
116,5,11
117,5,12
118,5,14
119,5,15
120,5,16
121,5,17
122,5,19
123,5,22
124,5,23
125,5,24
126,5,27
127,5,31
128,5,32
129,5,37
130,5,41
131,6,1
132,6,2
133,6,3
134,6,4
135,6,5
136,6,6
137,6,7
138,6,9
139,6,10
140,6,11
141,6,12
142,6,15
143,6,16
144,6,17
145,6,18
146,6,19
147,6,20
148,6,25
149,6,35
150,6,44
151,7,1
152,7,2
153,7,3
154,7,4
155,7,5
156,7,6
157,7,7
158,7,9
159,7,12
160,7,15
161,7,16
162,7,17
163,7,18
164,7,19
165,7,22
166,7,24
167,7,25
168,7,26
169,7,29
170,7,34
171,8,1
172,8,2
173,8,3
174,8,4
175,8,5
176,8,6
177,8,7
178,8,8
179,8,9
180,8,10
181,8,12
182,8,13
183,8,19
184,8,21
185,8,22
186,8,23
187,8,28
188,8,42
189,9,1
190,9,2
191,9,3
192,9,4
193,9,5
194,9,6
195,9,7
196,9,8
197,9,9
198,9,10
199,9,11
200,9,14
201,9,18
202,9,20
203,9,27
204,9,29
205,9,30
206,9,36
207,10,1
208,10,2
209,10,3
210,10,5
211,10,6
212,10,7
213,10,8
214,10,9
215,10,10
216,10,11
217,10,13
218,10,14
219,10,21
220,10,28
221,10,34
222,11,1
223,11,2
224,11,3
225,11,4
226,11,5
227,11,7
228,11,8
229,11,10
230,11,12
231,11,13
232,11,17
233,11,22
234,11,33
235,12,1
236,12,2
237,12,3
238,12,4
239,12,10
240,12,11
241,12,13
242,12,14
243,12,20
244,12,23
245,12,26
246,12,30
247,13,1
248,13,2
249,13,3
250,13,4
251,13,5
252,13,6
253,13,8
254,13,13
255,13,15
256,13,16
257,13,38
258,14,1
259,14,2
260,14,3
261,14,4
262,14,10
263,14,11
264,14,20
265,14,21
266,14,26
267,14,28
268,15,1
269,15,2
270,15,3
271,15,4
272,15,5
273,15,6
274,15,8
275,16,1
276,16,5
277,16,13
278,16,21
