"interaction","resource","consumer"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,2,1
11,2,2
12,2,3
13,2,4
14,2,5
15,2,6
16,2,8
17,2,9
18,3,1
19,3,2
20,3,3
21,3,4
22,3,5
23,3,7
24,3,9
25,4,1
26,4,2
27,4,3
28,4,4
29,4,5
30,4,6
31,4,7
32,5,2
33,5,3
34,5,4
35,5,5
36,5,6
37,5,7
38,5,9
39,6,1
40,6,2
41,6,3
42,6,4
43,6,5
44,6,6
45,6,7
46,7,1
47,7,2
48,7,3
49,7,4
50,7,5
51,7,7
52,7,8
53,8,1
54,8,2
55,8,3
56,8,4
57,8,5
58,8,6
59,8,8
60,9,1
61,9,2
62,9,3
63,9,4
64,9,6
65,9,8
66,10,1
67,10,2
68,10,3
69,10,4
70,10,5
71,11,1
72,11,2
73,11,3
74,11,4
75,11,5
76,12,1
77,12,2
78,12,3
79,12,4
80,13,1
81,13,2
82,13,3
83,13,4
84,14,1
85,14,4
86,14,5
87,14,6
88,15,1
89,15,3
90,15,6
91,15,8
92,16,2
93,16,3
94,16,6
95,17,1
96,17,2
97,17,7
98,18,1
99,18,2
100,18,7
101,19,2
102,19,3
103,19,4
104,20,1
105,20,6
106,20,7
107,21,3
108,21,4
109,22,1
110,22,7
111,23,5
112,24,1
113,25,2
114,26,2
115,27,1
116,28,2
117,29,1
118,30,3
119,31,2
