"patch_no","X","Y"
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,1,2
102,2,2
103,3,2
104,4,2
105,5,2
106,6,2
107,7,2
108,8,2
109,9,2
110,10,2
111,11,2
112,12,2
113,13,2
114,14,2
115,15,2
116,16,2
117,17,2
118,18,2
119,19,2
120,20,2
121,21,2
122,22,2
123,23,2
124,24,2
125,25,2
126,26,2
127,27,2
128,28,2
129,29,2
130,30,2
131,31,2
132,32,2
133,33,2
134,34,2
135,35,2
136,36,2
137,37,2
138,38,2
139,39,2
140,40,2
141,41,2
142,42,2
143,43,2
144,44,2
145,45,2
146,46,2
147,47,2
148,48,2
149,49,2
150,50,2
151,51,2
152,52,2
153,53,2
154,54,2
155,55,2
156,56,2
157,57,2
158,58,2
159,59,2
160,60,2
161,61,2
162,62,2
163,63,2
164,64,2
165,65,2
166,66,2
167,67,2
168,68,2
169,69,2
170,70,2
171,71,2
172,72,2
173,73,2
174,74,2
175,75,2
176,76,2
177,77,2
178,78,2
179,79,2
180,80,2
181,81,2
182,82,2
183,83,2
184,84,2
185,85,2
186,86,2
187,87,2
188,88,2
189,89,2
190,90,2
191,91,2
192,92,2
193,93,2
194,94,2
195,95,2
196,96,2
197,97,2
198,98,2
199,99,2
200,100,2
201,1,3
202,2,3
203,3,3
204,4,3
205,5,3
206,6,3
207,7,3
208,8,3
209,9,3
210,10,3
211,11,3
212,12,3
213,13,3
214,14,3
215,15,3
216,16,3
217,17,3
218,18,3
219,19,3
220,20,3
221,21,3
222,22,3
223,23,3
224,24,3
225,25,3
226,26,3
227,27,3
228,28,3
229,29,3
230,30,3
231,31,3
232,32,3
233,33,3
234,34,3
235,35,3
236,36,3
237,37,3
238,38,3
239,39,3
240,40,3
241,41,3
242,42,3
243,43,3
244,44,3
245,45,3
246,46,3
247,47,3
248,48,3
249,49,3
250,50,3
251,51,3
252,52,3
253,53,3
254,54,3
255,55,3
256,56,3
257,57,3
258,58,3
259,59,3
260,60,3
261,61,3
262,62,3
263,63,3
264,64,3
265,65,3
266,66,3
267,67,3
268,68,3
269,69,3
270,70,3
271,71,3
272,72,3
273,73,3
274,74,3
275,75,3
276,76,3
277,77,3
278,78,3
279,79,3
280,80,3
281,81,3
282,82,3
283,83,3
284,84,3
285,85,3
286,86,3
287,87,3
288,88,3
289,89,3
290,90,3
291,91,3
292,92,3
293,93,3
294,94,3
295,95,3
296,96,3
297,97,3
298,98,3
299,99,3
300,100,3
301,1,4
302,2,4
303,3,4
304,4,4
305,5,4
306,6,4
307,7,4
308,8,4
309,9,4
310,10,4
311,11,4
312,12,4
313,13,4
314,14,4
315,15,4
316,16,4
317,17,4
318,18,4
319,19,4
320,20,4
321,21,4
322,22,4
323,23,4
324,24,4
325,25,4
326,26,4
327,27,4
328,28,4
329,29,4
330,30,4
331,31,4
332,32,4
333,33,4
334,34,4
335,35,4
336,36,4
337,37,4
338,38,4
339,39,4
340,40,4
341,41,4
342,42,4
343,43,4
344,44,4
345,45,4
346,46,4
347,47,4
348,48,4
349,49,4
350,50,4
351,51,4
352,52,4
353,53,4
354,54,4
355,55,4
356,56,4
357,57,4
358,58,4
359,59,4
360,60,4
361,61,4
362,62,4
363,63,4
364,64,4
365,65,4
366,66,4
367,67,4
368,68,4
369,69,4
370,70,4
371,71,4
372,72,4
373,73,4
374,74,4
375,75,4
376,76,4
377,77,4
378,78,4
379,79,4
380,80,4
381,81,4
382,82,4
383,83,4
384,84,4
385,85,4
386,86,4
387,87,4
388,88,4
389,89,4
390,90,4
391,91,4
392,92,4
393,93,4
394,94,4
395,95,4
396,96,4
397,97,4
398,98,4
399,99,4
400,100,4
401,1,5
402,2,5
403,3,5
